DeploymentYear,total.spring,total.nov,total.dec,total.jan,total.feb,total.mar
ABMI-1295-NW_2018,78,0,0,5,28,31
ABMI-1295-SE_2018,78,0,0,5,28,31
ABMI-1295-SW_2018,78,0,0,5,28,31
ABMI-1296-NE_2018,78,0,0,6,28,31
ABMI-1296-NW_2018,78,0,0,6,28,31
ABMI-1296-SE_2018,78,0,0,6,28,31
ABMI-1296-SW_2018,78,0,0,6,28,31
ABMI-1303-NE_2015,78,0,0,0,0,26
ABMI-1303-NW_2015,78,0,0,0,0,26
ABMI-1303-SE_2015,78,0,0,0,0,26
ABMI-1303-SW_2015,78,0,0,0,0,26
ABMI-1304-NE_2015,78,0,0,0,0,28
ABMI-1304-NW_2015,78,0,0,0,0,28
ABMI-1304-SE_2015,78,0,0,0,0,28
ABMI-1304-SW_2015,78,0,0,0,0,28
ABMI-1305-NE_2015,59,0,0,0,0,29
ABMI-1305-NE-b_2015,20,0,0,0,0,0
ABMI-1305-NW_2015,78,0,0,0,0,29
ABMI-1305-SE_2015,78,0,0,0,0,29
ABMI-1305-SW_2015,78,0,0,0,0,29
ABMI-1306-NE_2017,78,0,0,15,28,31
ABMI-1306-NW_2017,78,0,0,15,28,31
ABMI-1306-SE_2017,52,0,0,15,28,31
ABMI-1306-SW_2017,78,0,0,15,28,31
ABMI-1307-NE_2017,78,0,0,14,28,31
ABMI-1307-NW_2017,78,0,0,14,28,31
ABMI-1307-SE_2017,78,0,0,14,28,31
ABMI-1307-SW_2017,78,0,0,14,28,31
ABMI-1308-NE_2017,78,0,0,0,0,18
ABMI-1308-NW_2017,78,0,0,0,0,18
ABMI-1308-SE_2017,78,0,0,0,0,18
ABMI-1308-SW_2017,78,0,0,0,0,18
ABMI-1309-NE_2018,78,0,14,31,28,31
ABMI-1309-SW_2018,78,0,0,23,28,31
ABMI-1310-NE_2018,78,0,0,6,28,31
ABMI-1310-SW_2018,78,0,0,6,28,31
ABMI-1311-NE_2018,78,0,0,5,28,31
ABMI-1311-SW_2018,78,0,0,5,28,31
ABMI-1312-NE_2016,56,0,0,0,2,31
ABMI-1312-NW_2016,55,0,0,0,8,31
ABMI-1312-SE_2016,2,0,0,0,8,31
ABMI-1312-SW_2016,0,0,0,0,9,8
ABMI-1313-NE_2016,78,0,0,0,3,31
ABMI-1313-NW_2016,38,0,0,0,3,31
ABMI-1313-SE_2016,78,0,0,0,0,31
ABMI-1313-SW_2016,78,0,0,0,0,31
ABMI-1314-NE_2016,0,0,0,0,1,0
ABMI-1314-NW_2016,33,0,0,0,4,31
ABMI-1314-SE_2016,78,0,0,0,4,31
ABMI-1314-SW_2016,12,0,0,0,4,31
ABMI-1320-NE_2018,78,30,31,31,28,31
ABMI-1320-NW_2018,78,30,31,31,28,31
ABMI-1320-SE_2018,78,30,31,31,28,31
ABMI-1321-NE_2017,78,0,30,31,28,31
ABMI-1321-NW_2017,78,0,30,31,28,31
ABMI-1321-SE_2017,78,0,30,31,28,31
ABMI-1321-SW_2017,78,0,30,31,28,31
ABMI-1322-NE_2017,78,2,31,31,28,31
ABMI-1322-NW_2017,78,2,31,31,28,31
ABMI-1322-SE_2017,78,2,31,31,28,31
ABMI-1322-SW_2017,78,2,31,31,28,31
ABMI-1323-NE_2018,78,0,0,4,28,31
ABMI-1323-NW_2018,78,0,0,4,28,31
ABMI-1323-SE_2018,78,0,0,4,28,31
ABMI-1323-SW_2018,78,0,0,4,28,31
ABMI-1324-NE_2018,78,0,0,3,28,31
ABMI-1324-NW_2018,78,0,0,3,28,31
ABMI-1324-SE_2018,78,0,0,3,28,31
ABMI-1324-SW_2018,78,0,0,3,28,31
ABMI-1325-NE_2018,78,0,0,2,28,31
ABMI-1325-NW_2018,0,0,0,2,28,0
ABMI-1325-SE_2018,78,0,0,2,28,31
ABMI-1325-SW_2018,78,0,0,2,28,31
